歌名,歌手,语言,,
勇气,梁静茹,中文,https://www.bilibili.com/video/BV1Lg411r7dq,
崇拜,梁静茹,中文,,https://www.bilibili.com/video/BV1SZ4y1h75S
爱你不是两三天,梁静茹,中文,"https://www.bilibili.com/video/BV1s14y1t7nD
https://www.bilibili.com/video/BV1mr4y1j7A3?p=1",https://www.bilibili.com/video/BV1oF411A7p3
会呼吸的痛,梁静茹,中文,https://www.bilibili.com/video/BV1mr4y1j7A3?p=5,https://www.bilibili.com/video/BV1QM4y1378E
亲爱的 那不是爱情,张韶涵,中文,,
遗失的美好,张韶涵,中文,,
隐形的翅膀,张韶涵,中文,https://www.bilibili.com/video/BV18D4y1i7jq,
梦里花,张韶涵,中文,https://www.bilibili.com/video/BV1Ya4y1f7nK,
不想懂得,张韶涵,中文,,
看得最远的地方,张韶涵,中文,https://www.bilibili.com/video/BV1Eg411m7mL,
下一个天亮,郭静,中文,,
在树上唱歌,郭静,中文,,
心墙,郭静,中文,"https://www.bilibili.com/video/BV1se4y167PT
https://www.bilibili.com/video/BV1RG411x7Gr",
傻孩子,阎韦伶,中文,,
第一次爱的人,王心凌,中文,,
爱你,王心凌,中文,https://www.bilibili.com/video/BV14B4y1e7tJ?p=4,
睫毛弯弯,王心凌,中文,,
月光,王心凌,中文,"https://www.bilibili.com/video/BV1jU4y1r7jz
https://www.bilibili.com/video/BV1eB4y1V7ho
https://www.bilibili.com/video/BV1Wr4y1E7Nn?p=9",https://www.bilibili.com/video/BV1nm4y1D7hy
花的嫁纱,王心凌,中文,,
那年夏天宁静的海,王心凌,中文,,
黄昏晓,王心凌,中文,,
羽毛,王心凌,中文,,https://www.bilibili.com/video/BV1tf4y1n7Hz
当你,王心凌、林俊杰,中文,,https://www.bilibili.com/video/BV1yg411c7nZ
彩虹的微笑,王心凌,中文,,
我会好好的,王心凌,中文,,
菊花台,周杰伦,中文,,
青花瓷,周杰伦,中文,https://www.bilibili.com/video/BV1Wr4y1E7Nn?p=2,
告白气球,周杰伦,中文,"https://www.bilibili.com/video/BV1rS4y1E7xH?p=1
https://www.bilibili.com/video/BV1bB4y137zX
https://www.bilibili.com/video/BV14B4y1e7tJ?p=7","https://www.bilibili.com/video/BV1ht4y187T2
https://www.bilibili.com/video/BV1ai4y1R7kr
https://www.bilibili.com/video/BV17b4y1z7XY?p=6"
小小,容祖儿,中文,,
挥着翅膀的女孩,容祖儿,中文,https://www.bilibili.com/video/BV1QV4y1F7Mj?p=2,https://www.bilibili.com/video/BV1v24y127d1
无人之岛,任然,中文,,
山外小楼夜听雨,XUN,中文,,"https://www.bilibili.com/video/BV1sA4y1f7jE
https://www.bilibili.com/video/BV1rq4y1h7b1"
飞鸟和蝉,任然,中文,https://www.bilibili.com/video/BV1Nt4y1P7Hr,"https://www.bilibili.com/video/BV1BD4y1F7Uw
https://www.bilibili.com/video/BV1xu41197fZ
https://www.bilibili.com/video/BV1w34y1j7M7/?t=3698
https://www.bilibili.com/video/BV13h411q7jR"
手掌心,丁当,中文,https://www.bilibili.com/video/BV1xt4y1P7Rq,https://www.bilibili.com/video/BV1ow411R7WN?p=4
猜不透,丁当,中文,,https://www.bilibili.com/video/BV1P44y117Ks
永不失联的爱,周兴哲,中文,https://www.bilibili.com/video/BV1St4y157uZ?p=3,https://www.bilibili.com/video/BV1eh411W797
像风一样,薛之谦,中文,"https://www.bilibili.com/video/BV1CB4y1n7Kw
https://www.bilibili.com/video/BV1yN4y1c7Nv
https://www.bilibili.com/video/BV1xe4y1f7cm",https://www.bilibili.com/video/BV1ow411R7WN?p=10
像我这样的人,毛不易,中文,https://www.bilibili.com/video/BV1sG41177Tg,
天使的指纹,孙燕姿,中文,"https://www.bilibili.com/video/BV1KD4y1i7z5
https://www.bilibili.com/video/BV1St4y157uZ?p=2","https://www.bilibili.com/video/BV1Dq4y1u7zL
https://www.bilibili.com/video/BV1F94y1U7LT"
遇见,孙燕姿,中文,https://www.bilibili.com/video/BV1324y1Z7jR,https://www.bilibili.com/video/BV1ba411B78d
开始懂了,孙燕姿,中文,,
我很愉快,孙燕姿,中文,"https://www.bilibili.com/video/BV1mr4y1j7A3?p=8
https://www.bilibili.com/video/BV1St4y157uZ?p=1",
跳舞的梵谷,孙燕姿,中文,https://www.bilibili.com/video/BV1Ng411U7nh,
红玫瑰,陈奕迅,中文,"https://www.bilibili.com/video/BV1A84y1z7xJ
https://www.bilibili.com/video/BV1ot4y1L7wo",
独家记忆,陈小春,中文,"https://www.bilibili.com/video/BV1st4y1L7Tj
https://www.bilibili.com/video/BV1kY4y1N7A8",
听海,张惠妹,中文,https://www.bilibili.com/video/BV1hP411j7vS,
哭砂,黄莺莺,中文,,
别在伤口撒盐,张惠妹,中文,,
好久不见,陈奕迅,中文,https://www.bilibili.com/video/BV1aa411d7Xr,"https://www.bilibili.com/video/BV1JK4y1n7Jd/?t=1071
https://www.bilibili.com/video/BV1ow411R7WN?p=12"
漂洋过海来看你,金智娟、李宗盛,中文,"https://www.bilibili.com/video/BV1KU4y1k74C
https://www.bilibili.com/video/BV1mr4y1j7A3?p=6","https://www.bilibili.com/video/BV1JK4y1n7Jd/?t=744
https://www.bilibili.com/video/BV1ow411R7WN?p=11"
独角戏,许茹芸,中文,,
最重要的决定,范玮琪,中文,,
到不了,范玮琪,中文,,
是非题,范玮琪,中文,https://www.bilibili.com/video/BV1m14y177bm,
舍不得,弦子,中文,,https://www.bilibili.com/video/BV1R44y1g7jn
醉清风,弦子,中文,,https://www.bilibili.com/video/BV17b4y1z7XY?p=2
下雨天,南拳妈妈,中文,"https://www.bilibili.com/video/BV1Qe411K7vR
https://www.bilibili.com/video/BV1aP411j7hi",
半情歌,元若蓝,中文,,https://www.bilibili.com/video/BV1rL4y1n7jW
请不要对我说sorry,陈小春,中文,"https://www.bilibili.com/video/BV1WN4y1w7ym
https://www.bilibili.com/video/BV1F841147XM
https://www.bilibili.com/video/BV14B4y1e7tJ?p=3","https://www.bilibili.com/video/BV17b4y1z7XY?p=1
https://www.bilibili.com/video/BV1uU4y1n7uH"
凉凉,张碧晨&杨宗纬,中文,https://www.bilibili.com/video/BV1iT411N7o8,
白芍花开,张碧晨,中文,https://www.bilibili.com/video/BV1kN4y1K7M8,
怎么唱情歌,刘惜君,中文,"https://www.bilibili.com/video/BV1Re4y167aS
https://www.bilibili.com/video/BV1La411d7Fa",
遥远的歌,Cannie晴子、刘惜君,中文,https://www.bilibili.com/video/BV1GB4y1z7iW,
菩提偈,刘惜君,中文,https://www.bilibili.com/video/BV1GB4y177Jy,https://www.bilibili.com/video/BV1ow411R7WN?p=6
我很快乐,刘惜君,中文,https://www.bilibili.com/video/BV1La411d7Fa,
小幸运,田馥甄,中文,https://www.bilibili.com/video/BV14B4y1e7tJ?p=1,https://www.bilibili.com/video/BV1Qq4y1C7U9
雨蝶,李翊君,中文,https://www.bilibili.com/video/BV18V4y1V76z,https://www.bilibili.com/video/BV1gr4y1a7Hs
当,动力火车,中文,https://www.bilibili.com/video/BV1Y24y1o7ND,https://www.bilibili.com/video/BV1UL41157JC
敢问路在何方,张暴默、蒋大为,中文,https://www.bilibili.com/video/BV1ve4y1m7MV,
女儿情,吴静,中文,https://www.bilibili.com/video/BV1hB4y137iX,https://www.bilibili.com/video/BV1Ra411y7fe
何必西天万里遥,吴静,中文,,"https://www.bilibili.com/video/BV1CS4y1X79n
https://www.bilibili.com/video/BV15h411r7a1?p=4"
天竺少女,李玲玉,中文,,https://www.bilibili.com/video/BV15h411r7a1
123木头人,黑Girl,中文,,https://www.bilibili.com/video/BV17b4y1z7XY?p=4
情深深雨濛濛,赵薇,中文,https://www.bilibili.com/video/BV1s14y1t7ny,https://www.bilibili.com/video/BV1mS4y157vq
你不是真正的快乐,五月天,中文,"https://www.bilibili.com/video/BV1Jg411h7b7
https://www.bilibili.com/video/BV1pN4y1P7wY",
拥抱,五月天,中文,,
突然好想你,五月天,中文,,
Lydia,飞儿乐团,中文,,https://www.bilibili.com/video/BV13y4y1T7PE
我们的爱,飞儿乐团,中文,,
千年之恋,飞儿乐团,中文,,
风吹麦浪,李健,中文,https://www.bilibili.com/video/BV1UV4y1H7zX,
可念不可说,崔子格,中文,https://www.bilibili.com/video/BV1CD4y1q7nA,
无别,张信哲,中文,"https://www.bilibili.com/video/BV1sP4y1o7ZP
https://www.bilibili.com/video/BV19B4y1a7QL?p=6",
赤伶,HITA,中文,"https://www.bilibili.com/video/BV12S4y177Si?p=5
https://www.bilibili.com/video/BV1QV4y1F7Mj?p=9
https://www.bilibili.com/video/BV1Fd4y1g7sF
https://www.bilibili.com/video/BV1aB4y1G7Fb
https://www.bilibili.com/video/BV1Wr4y1E7Nn?p=7",https://www.bilibili.com/video/BV1w34y1j7M7/?t=2397
新贵妃醉酒,李玉刚,中文,https://www.bilibili.com/video/BV1QV4y1F7Mj?p=8,https://www.bilibili.com/video/BV1mf4y1w7uj
梨花颂,梅葆玖,中文,"https://www.bilibili.com/video/BV1vd4y197SS?p=2
https://www.bilibili.com/video/BV1F14y1x7uf",
待我长发及腰,尚雯婕,中文,https://www.bilibili.com/video/BV1pa411g7JS,https://www.bilibili.com/video/BV1ow411R7WN?p=5
雪落下的声音,陆虎,中文,"https://www.bilibili.com/video/BV1xd4y1z7Vj
https://www.bilibili.com/video/BV12e4y1f7G3",
牵丝戏,银临&Aki阿杰,中文,https://www.bilibili.com/video/BV1QV4y1H7gj,"https://www.bilibili.com/video/BV1w34y1j7M7/?t=814
https://www.bilibili.com/video/BV1364y1a74j"
笑红尘,陈淑桦,中文,,"https://www.bilibili.com/video/BV1xW4y1k7Nm
https://www.bilibili.com/video/BV1A44y137xz
https://www.bilibili.com/video/BV1Co4y1X71y"
叙世,Aki阿杰&清弄,中文,https://www.bilibili.com/video/BV1hd4y1y788,https://www.bilibili.com/video/BV1uK4y1U75F
卷珠帘,霍尊,中文,https://www.bilibili.com/video/BV1zv4y1d7CQ,https://www.bilibili.com/video/BV18P4y1h7Te
回梦游仙,董贞,中文,https://www.bilibili.com/video/BV1be4y1t7Uq,"https://www.bilibili.com/video/BV1ma411L7eQ
https://www.bilibili.com/video/BV13P4y1F7Se
https://www.bilibili.com/video/BV1hi4y1573u"
醉梦仙霖,董贞,中文,,https://www.bilibili.com/video/BV1XM4y1M7Vi
金缕衣,董贞,中文,,"https://www.bilibili.com/video/BV1dZ4y1t7H2
https://www.bilibili.com/video/BV1g64y1a7rn"
雕花笼,董贞,中文,https://www.bilibili.com/video/BV1Hv4y1o7nm,"https://www.bilibili.com/video/BV1664y1h7bS
https://www.bilibili.com/video/BV1Sa411F7DA"
相思引,董贞,中文,,https://www.bilibili.com/video/BV1FM4y1G7PS
剑如虹,董贞,中文,"https://www.bilibili.com/video/BV1Nd4y1g7dd
https://www.bilibili.com/video/BV14B4y1e7tJ?p=9",
菩萨蛮,姚贝娜,中文,,
红颜劫,姚贝娜,中文,,https://www.bilibili.com/video/BV1yq4y1W7MD
画情,姚贝娜,中文,"https://www.bilibili.com/video/BV1Kd4y127pd
https://www.bilibili.com/video/BV14B4y1e7tJ?p=5","https://www.bilibili.com/video/BV1nd4y127WV
https://www.bilibili.com/video/BV1cK411X7Za"
御龙吟,姚贝娜、殷瑜琼,中文,,
谁听窗外雨,HITA,中文,,
故梦,橙翼,中文,,"https://www.bilibili.com/video/BV1Ld4y1M7NE
https://www.bilibili.com/video/BV1xD4y1i7YE"
画中仙,金莎,中文,https://www.bilibili.com/video/BV1mr4y1j7A3?p=3,"https://www.bilibili.com/video/BV1Xu411679i
https://www.bilibili.com/video/BV1V3411M7tt
https://www.bilibili.com/video/BV1tL4y1H7us
https://www.bilibili.com/video/BV1AL411t7NR
https://www.bilibili.com/video/BV1Dh411B7G9"
相思垢,金莎,中文,,"https://www.bilibili.com/video/BV1qR4y1c785
https://www.bilibili.com/video/BV12M4y1N79q"
星月神话,金莎,中文,https://www.bilibili.com/video/BV1mr4y1j7A3?p=9,"https://www.bilibili.com/video/BV1FT4y197PX
https://www.bilibili.com/video/BV1kP4y1a7gZ"
爱的魔法,金莎,中文,,https://www.bilibili.com/video/BV1n3411v7mq
梦千年之恋,金莎,中文,https://www.bilibili.com/video/BV1HG411V7mh,"https://www.bilibili.com/video/BV1Ar4y147fR
https://www.bilibili.com/video/BV1v34y1X79U
https://www.bilibili.com/video/BV1fb4y117UW"
天边的眷恋,金莎,中文,,"https://www.bilibili.com/video/BV1QY411p7aE
https://www.bilibili.com/video/BV1z64y1Y7J9"
身骑白马,徐佳莹,中文,,https://www.bilibili.com/video/BV1Pf4y177Di
海底,一支榴莲,中文,https://www.bilibili.com/video/BV13Y4y1N7Vp,
晚安喵,艾索,中文,,https://www.bilibili.com/video/BV1rb4y1n7qJ
葫芦娃,上海市少年宫合唱队,中文,,
小螺号,程琳,中文,,
外婆的澎湖湾,潘安邦,中文,,https://www.bilibili.com/video/BV1na411T7SG
种太阳,孙佳星,中文,,
多啦A梦之歌,大杉久美子、山野智子,日文、中文,,
花仙子之歌,堀江美都子,日文、中文,,
